url,name,from,to,voltage,p_nom,length
\href{https://www.openstreetmap.org/relation/8193755}{relation/8193755},Aachen Lüttich Electricity Grid Overlay (ALEGrO),BE,DE,320,1000,90
\href{https://www.openstreetmap.org/relation/3918230}{relation/3918230},Baltic Cable,DE,SE,450,600,260
\href{https://www.openstreetmap.org/relation/14126301}{relation/14126301},BritNed,GB-ENG,NL,450,1000,254
\href{https://www.openstreetmap.org/relation/8099179}{relation/8099179},Caithness-Moray Link,GB-SCT,GB-SCT,320,1200,136
\href{https://www.openstreetmap.org/relation/17631956}{relation/17631956},Conexión Mediterránea Transporte Alta tensión (COMETA),ES,ES,250,400,238
\href{https://www.openstreetmap.org/relation/8185420}{relation/8185420},Copenhagen-Brussels-Amsterdam cable (COBRAcable),DK,NL,320,700,328
\href{https://www.openstreetmap.org/relation/2127794}{relation/2127794},Cross-Channel (IFA 2000),FR,GB-ENG,270,2000,70
\href{https://www.openstreetmap.org/relation/8184641}{relation/8184641},East-West Interconnector,IE,GB-WLS,400,500,257
\href{https://www.openstreetmap.org/relation/15772117}{relation/15772117},ElecLink,FR,GB-ENG,320,1000,53
\href{https://www.openstreetmap.org/relation/8184630}{relation/8184630},Estlink 1,EE,FI,150,350,105
\href{https://www.openstreetmap.org/relation/6886400}{relation/6886400},Estlink 2,EE,FI,450,650,175
\href{https://www.openstreetmap.org/relation/8184631}{relation/8184631},Fenno-Skan,FI,SE,400,500,229
\href{https://www.openstreetmap.org/relation/3391954}{relation/3391954},Fenno-Skan 2,FI,SE,500,800,305
\href{https://www.openstreetmap.org/relation/3392001}{relation/3392001},Gotlandslänken (Gotland 2+3),SE,SE,150,260,96
\href{https://www.openstreetmap.org/relation/5487095}{relation/5487095},Great Belt power link,DK,DK,400,600,56
\href{https://www.openstreetmap.org/relation/9934065}{relation/9934065}; \href{https://www.openstreetmap.org/relation/9934066}{relation/9934066},Interconnexion Electrique France-Espagne (INELFE),ES,FR,320,2000,64
\href{https://www.openstreetmap.org/relation/10377412}{relation/10377412},Interconnexion France-Angleterre 2 (IFA-2),FR,GB-ENG,320,1000,231
\href{https://www.openstreetmap.org/relation/8185664}{relation/8185664},Italy-Greece,GR,IT,400,500,302
\href{https://www.openstreetmap.org/relation/9982798}{relation/9982798},Italy–Corsica–Sardinia (SACOI) - Corsica-Sardinia,FR,IT,200,300,141
\href{https://www.openstreetmap.org/relation/3391794}{relation/3391794},Italy–Corsica–Sardinia (SACOI) - Italy-Corsica,FR,IT,200,300,241
\href{https://www.openstreetmap.org/relation/2505320}{relation/2505320},KONTEK,DE,DK,400,600,166
\href{https://www.openstreetmap.org/relation/8184629}{relation/8184629},Konti-Skan,DK,SE,300,680,142
\href{https://www.openstreetmap.org/relation/8185767}{relation/8185767},Montenegro-Italy (MON.ITA),IT,ME,500,1200,412
\href{https://www.openstreetmap.org/relation/6914309}{relation/6914309},Moyle interconnector,GB-NIR,GB-SCT,500,500,62
\href{https://www.openstreetmap.org/relation/8185487}{relation/8185487},Nemo Link,BE,GB-ENG,400,1000,139
\href{https://www.openstreetmap.org/relation/9965201}{relation/9965201},NorNed,NL,NO,450,700,578
\href{https://www.openstreetmap.org/relation/8185455}{relation/8185455},NordBalt,LT,SE,300,700,448
\href{https://www.openstreetmap.org/relation/16213216}{relation/16213216},NordLink,DE,NO,525,1400,620
\href{https://www.openstreetmap.org/relation/13295785}{relation/13295785},North Sea Link,GB-ENG,NO,515,1400,723
\href{https://www.openstreetmap.org/relation/8185711}{relation/8185711},Sardegna-Penisola Italiana (SAPEI),IT,IT,500,1000,417
\href{https://www.openstreetmap.org/relation/3391931}{relation/3391931},Skagerrak (1-3),DK,NO,350,940,241
\href{https://www.openstreetmap.org/relation/8184632}{relation/8184632},Skagerrak (4),DK,NO,500,700,226
\href{https://www.openstreetmap.org/relation/3392010}{relation/3392010},SwePol,PL,SE,450,600,255
\href{https://www.openstreetmap.org/relation/8184633}{relation/8184633},SydVästlänken,NO,SE,300,1200,253
\href{https://www.openstreetmap.org/relation/15781671}{relation/15781671},Viking Link,DK,GB-ENG,525,1400,742
\href{https://www.openstreetmap.org/relation/15775538}{relation/15775538},Western HVDC Link,GB-SCT,GB-WLS,600,2250,401
